user_id,user_community,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
4639413136,1,active,3875,433,10,14,561,52,3296,365,1,1,7,1,975,92
3015067823,1,active,1733,385,7,13,428,125,1276,244,6,1,16,2,366,58
2327400218,1,active,39611,3181,40,37,1245,207,38239,2927,21,4,66,6,14834,973
20545835,1,active,11124,1521,48,32,1390,244,9059,1166,429,64,198,15,3166,320
1170886272,1,active,5733,376,14,24,519,56,5152,290,21,4,27,2,1730,83
499154896,1,active,7044,584,20,13,968,102,5990,462,14,4,52,3,2000,96
21722318,1,active,16030,2788,79,46,2681,511,13035,2192,96,13,139,26,3784,505
816131319033950208,1,active,1772,212,11,23,237,33,1509,151,9,4,6,1,490,40
233842454,0,active,23490,2000,22454,1570,60,82,968,346,1,1,7,1,328,91
818948638890217473,1,active,9896,1019,41,182,1406,128,8306,689,14,4,129,16,3313,187
18956073,1,active,9803,2054,355,435,1343,268,7800,1301,147,29,158,21,2406,363
1085225533623783424,1,active,11313,1606,14,7,587,610,10482,953,89,21,141,15,4191,314
19211550,1,active,157613,16914,185,102,7783,1526,147849,15064,666,113,1130,109,53780,4502
19612749,1,active,10331,741,11,6,698,110,9448,616,138,8,36,1,3508,193
958408514807967751,1,active,10703,991,12,8,581,104,9719,821,296,47,95,11,3448,244
1151261114384171008,1,active,2122,268,5,13,140,35,1953,212,13,4,11,4,668,58
338473859,1,active,7342,789,5,5,411,101,6849,660,42,14,35,9,2587,197
889977782863749120,2,active,3239,796,1,3,12,42,3218,748,1,2,7,1,958,197
60876782,0,active,4074,3305,3699,1629,15,191,340,1475,17,8,3,2,148,338
2689617914,1,active,700,164,1,5,132,24,484,123,80,10,3,2,149,27
872148729184362497,1,active,15705,1258,67,95,1579,188,13905,956,52,7,102,12,4495,272
1006474869570093056,1,active,7062,412,16,7,930,31,6080,371,10,2,26,1,2050,95
317385247,1,active,24635,2066,57,73,2249,259,22166,1717,75,5,88,12,6826,508
47739450,1,active,8045,794,90,126,1796,118,5956,540,75,7,128,3,2014,173
879548970082721792,1,active,10977,907,7,2,440,77,10476,809,9,1,45,18,4056,250
52338305,1,active,55415,4847,87,51,7551,750,47350,4005,151,21,276,20,15174,1010
3066800573,1,active,699,95,8,1,148,20,531,71,8,1,4,2,126,20
22610257,1,active,3619,344,4,5,641,59,2931,273,18,4,25,3,813,77
22663306,2,active,20674,1856,20,19,109,99,20448,1724,42,8,55,6,7340,444
22677397,1,active,30135,2447,32,19,1957,244,28049,2178,27,1,70,5,10461,638
973500614306095105,1,active,6385,1300,8,7,617,185,5664,1079,43,10,53,19,2162,500
523248016,1,active,48519,4909,73,65,3643,586,44531,4236,102,4,170,18,18072,1195
14173315,0,active,3708,1083,3507,711,12,63,172,300,9,5,8,4,102,93
1652541,0,active,4002,2955,3588,2504,27,82,356,329,18,28,13,12,132,118
2467791,0,active,7071,1541,6868,1250,29,57,164,228,1,4,9,2,126,88
27915028,1,active,1559,112,1,1,225,22,1316,87,6,1,11,1,500,28
27995424,1,active,29890,2739,110,128,2069,338,27626,2269,23,2,62,2,9256,664
42551777,1,active,625,92,1,1,52,9,552,79,7,1,13,2,190,17
216327829,1,active,4405,413,20,9,584,51,3789,349,5,1,7,3,400,38
90651198,1,active,10860,1595,46,172,2016,243,8639,1150,90,23,69,7,2474,317
17469289,1,active,3051,1387,612,629,559,149,1804,590,34,8,42,11,545,174
218975278,0,active,8010,4118,7490,552,21,693,473,2789,8,10,18,74,225,702
1947821689,1,active,5728,1380,12,1,757,216,4757,1134,159,20,43,9,1719,295
208155240,1,active,8216,331,18,25,816,43,7323,258,22,4,37,1,2837,68
72616616,1,active,3525,302,7,9,131,33,3337,255,18,1,32,4,1397,85
1901916354,1,active,6763,733,47,28,1226,153,5371,531,21,5,98,16,1701,139
380648579,0,active,598,115,534,79,3,8,47,21,7,2,7,5,9,6
16523905,1,active,27615,2269,57,39,2388,272,24981,1944,72,7,117,7,7850,478
1248019741312155649,1,active,6664,594,7,7,191,45,6411,534,17,3,38,5,2503,140
4239551,1,active,4502,664,18,11,283,79,4163,567,12,3,26,4,1226,153
3158234814,1,active,10363,1590,33,52,1559,256,8240,1234,308,30,223,18,2624,334
14407458,1,active,2520,209,9,8,436,23,2013,175,24,2,38,1,694,48
138182116,1,active,495,39,2,1,49,7,414,29,1,1,29,1,192,8
15745368,1,active,1401,121,67,50,551,17,623,49,11,1,149,4,152,15
15754281,0,active,2133,1125,1968,327,12,141,138,643,10,7,5,7,82,148
895347487233462272,1,active,3814,821,5,4,284,111,3493,698,9,4,23,4,1206,186
64998253,2,active,4011,515,5,4,25,35,3966,472,4,1,11,3,1776,132
180107694,0,active,9613,3103,8912,2092,17,98,680,906,1,4,3,3,331,305
16012783,0,active,5413,1968,4097,1698,63,35,1083,206,107,22,63,7,385,90
902987823183040512,1,active,3312,301,4,2,376,45,2867,247,27,3,38,4,963,79
770781940341288960,1,active,185729,15668,422,1912,23522,2077,152796,11181,4353,286,4636,212,53879,3358
806347865073315844,1,active,16536,1912,7,5,347,97,16117,1807,22,1,43,2,5574,473
18029328,1,active,3734,368,9,10,302,56,3399,300,9,1,15,1,1219,81
