user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
875017115979403264,2,suspended,,0.2549298769846367,4,3,36,50,13739,999,10,4,17,1,6141,303
890180563285553152,2,suspended,,0.24650652429148853,1,3,24,23,2881,434,12,2,9,1,1091,158
895954495116644352,1,suspended,,0.2685976539663269,18,3,755,86,11894,676,117,20,247,18,4994,252
898757756848680960,2,suspended,,0.23557676340965544,4,1,11,30,8295,549,5,1,14,3,3903,160
899115298997055491,2,suspended,,0.2512011131686013,8,3,19,55,16023,1290,15,5,33,1,6610,360
901063185305882624,2,suspended,,0.25453553584285726,11,27,94,140,18784,2202,450,106,37,12,8026,654
910003499546566658,2,suspended,,0.2530879997632076,2,2,28,20,6162,282,5,1,23,2,2957,92
921468286453321728,1,suspended,,0.2606903539161396,54,29,3341,477,28541,3232,84,11,122,13,8638,860
939366737413251072,1,suspended,,0.2203818585931289,2,1,236,56,6613,603,9,2,31,7,3886,336
939921079673479169,2,suspended,,0.2607734568912604,7,5,66,73,15194,1086,53,7,59,2,6772,452
939985878201618432,1,suspended,,0.19785598318649666,1,1,48,3,810,17,13,1,14,3,485,7
940430173517811714,1,suspended,,0.24211138553075442,8,5,658,123,9960,1028,339,52,84,12,5536,523
951302891708583936,2,suspended,,0.27036176511074195,19,3,185,205,30353,2474,22,7,67,4,12036,798
952758329301807104,1,suspended,,0.2400490904777518,9,6,509,177,11111,1157,53,15,49,6,5281,427
966612436978581504,1,suspended,,0.27768884984834,43,18,1664,504,26251,4382,132,19,322,69,10985,1603
972162448949116928,2,suspended,,0.2529161178618762,4,2,37,30,3678,471,6,1,15,5,1418,180
984537447525691392,1,suspended,,0.22513815329237094,13,1,854,17,8398,129,94,1,115,3,4541,71
991089617603411968,1,suspended,,0.26392875020803425,19,5,973,131,16193,1172,54,6,70,8,8449,527
999116887878524935,2,suspended,,0.2332896715159673,3,1,12,17,4282,384,12,2,7,2,2106,135
1003140853571862528,2,suspended,,0.2376505881850819,6,1,7,76,9693,1167,24,5,18,2,4427,406
1004572573177294848,1,suspended,,0.24225599881087456,4,5,476,125,11379,1140,107,34,46,5,5614,523
1010027784318488576,1,suspended,,0.2748057415067082,16,8,415,111,11884,943,10,1,25,5,5309,352
1024775399736311808,2,suspended,,0.25101072139987335,6,1,17,29,8045,618,2,1,23,1,3987,205
1052225335318712320,1,suspended,,0.25878305104567617,17,12,685,81,10562,763,57,2,63,6,4018,258
1079776911889448960,1,suspended,,0.24071489787692216,9,9,783,177,13633,1491,8,1,65,11,5972,578
1081674923355983872,2,suspended,,0.24196116702761516,2,6,17,24,5525,614,15,4,9,4,2289,257
1101968098293399561,1,suspended,,0.23853367864650493,10,1,575,198,14762,1872,42,16,279,54,7365,853
1110193840051445760,2,suspended,,0.23938020636405813,2,2,19,26,4329,427,5,1,11,3,1679,130
1110684264243302400,1,deleted,,0.26585106028018346,28,7,1514,139,23601,1417,91,3,167,5,10955,549
1134503131797106688,1,suspended,,0.22455682681289463,10,3,373,62,9871,706,1,1,20,1,5611,357
