tweet_id,user_community,community_type,user_active_status,retweet_count,quote_count,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users,date
1335271187077795843,1,promoter,active,10284,1112,15,3,671,89,9507,1016,21,1,70,3,3166,265,2020_12
1335279319229198336,1,promoter,active,642,77,1,1,31,8,607,66,1,1,2,1,220,18,2020_12
1335288571880558593,1,promoter,active,10736,949,16,10,1899,159,8781,778,10,1,30,1,2762,168,2020_12
1335394721615720449,1,promoter,active,27689,2299,60,91,4064,346,23099,1837,143,19,323,6,7668,534,2020_12
1335397806991945728,1,promoter,suspended,1835,135,1,1,70,14,1737,118,10,1,17,1,908,46,2020_12
1335411985245216768,1,promoter,active,3952,310,13,28,361,43,3466,231,51,7,61,1,1468,63,2020_12
1335413770139549697,1,promoter,suspended,31068,3515,127,346,6928,569,22122,2475,1044,86,847,39,7274,704,2020_12
1335413828851523584,1,promoter,suspended,1519,184,23,23,66,15,1375,144,35,1,20,1,672,38,2020_12
1335416110368382977,1,promoter,suspended,7406,549,11,7,356,58,6885,479,101,4,53,1,2970,131,2020_12
1335425288780570627,1,promoter,suspended,1284,127,2,2,42,15,1187,108,42,1,11,1,589,27,2020_12
1335426398077464576,1,promoter,active,2055,426,9,58,216,50,1812,316,8,1,10,1,624,108,2020_12
1335441085166968833,1,promoter,suspended,16008,1679,22,14,1349,217,14450,1433,103,9,84,6,6130,563,2020_12
1335470326898155520,1,promoter,suspended,9800,1402,16,29,902,172,8668,1172,97,15,117,14,3092,344,2020_12
1335547703640600577,1,promoter,active,1204,97,4,5,109,15,1040,74,18,2,33,1,351,17,2020_12
1335548896597004292,1,promoter,active,8930,1290,25,102,1433,222,7264,944,86,14,122,8,2037,186,2020_12
1335596266823143424,1,promoter,active,622,90,1,1,52,8,549,78,7,1,13,2,188,17,2020_12
1335602909476777984,1,promoter,active,4248,525,13,16,150,39,4072,466,3,1,10,3,1280,109,2020_12
1335625990278696960,2,promoter,active,1581,116,3,1,11,15,1528,97,28,2,11,1,733,39,2020_12
1335650142159048704,1,promoter,active,4122,448,5,15,240,33,3847,398,13,1,17,1,1357,109,2020_12
1335672345894268938,1,promoter,active,16138,2214,146,219,3369,292,10915,1531,434,49,1274,123,4001,461,2020_12
1335683646850785281,1,promoter,suspended,2590,111,5,1,141,9,2395,99,29,1,20,1,1127,25,2020_12
1335691538152755209,1,promoter,suspended,4703,1221,7,4,689,186,3962,1018,30,11,15,2,1434,312,2020_12
1335693022638510083,1,promoter,active,338,20,2,4,34,2,296,11,3,2,3,1,104,7,2020_12
1335700417297190913,1,promoter,active,204,65,5,1,25,10,144,36,1,1,29,17,52,13,2020_12
1335796393399775233,1,promoter,suspended,14530,1164,52,169,3151,183,10392,763,571,36,364,13,3908,216,2020_12
1335808989955837955,1,promoter,suspended,4713,432,4,1,307,46,4226,362,103,18,73,5,1934,125,2020_12
1335841007070552067,1,promoter,suspended,6359,548,2,2,410,72,5824,466,78,7,45,1,2687,143,2020_12
1335973533088772097,1,promoter,active,3699,319,5,4,447,49,3198,262,21,2,28,2,1137,83,2020_12
1336002544213045250,1,promoter,active,875,220,1,3,39,13,817,201,11,2,7,1,330,69,2020_12
1336020137053306881,1,promoter,suspended,5081,585,6,6,307,69,4615,476,93,23,60,11,2089,201,2020_12
1336023611233234946,1,promoter,active,232,258,61,9,53,36,115,208,2,4,1,1,47,69,2020_12
1336028060324401152,1,promoter,active,6948,1123,13,3,343,91,6514,1021,32,7,46,1,2117,288,2020_12
1336036067506581504,1,promoter,active,2511,289,2,1,234,41,2261,243,2,1,12,3,785,69,2020_12
1336057666116972545,1,promoter,active,7405,713,11,8,541,67,6771,632,34,2,48,4,2327,171,2020_12
1336061603549208578,1,promoter,active,5647,221,5,5,217,19,5340,194,48,2,37,1,2669,74,2020_12
1336065174084661248,1,promoter,active,8533,1040,17,63,964,160,7439,813,27,1,86,3,2540,214,2020_12
1336075583609040897,1,promoter,active,5483,1364,12,1,741,206,4528,1128,159,20,43,9,1636,294,2020_12
1336083595354656771,1,promoter,active,2162,256,2,4,159,31,1978,217,13,2,10,2,748,56,2020_12
1336108413319786498,1,promoter,active,2492,203,4,2,189,27,2276,172,11,1,12,1,852,45,2020_12
1336113441166200834,1,promoter,active,1434,79,3,2,55,7,1335,68,10,1,31,1,529,17,2020_12
1336184395074588673,1,promoter,suspended,12556,1190,15,5,1309,194,10973,954,133,11,126,26,4800,414,2020_12
1336290017619161088,1,promoter,active,1725,233,5,1,137,25,1567,202,6,2,10,3,510,34,2020_12
1336326972222291972,1,promoter,active,3300,299,4,2,376,44,2855,246,27,3,38,4,959,78,2020_12
1336347660593344512,1,promoter,suspended,3312,232,5,4,130,26,3115,200,41,1,21,1,1563,74,2020_12
1336390712380813313,1,promoter,suspended,10256,576,21,26,950,53,9059,479,125,17,101,1,3849,157,2020_12
1336405228644675586,1,promoter,suspended,5056,264,3,1,208,22,4747,237,50,2,48,2,2050,74,2020_12
1336407510069161988,1,promoter,suspended,28481,254,110,22,5339,24,21920,204,577,2,535,2,8082,57,2020_12
1336409829896843266,1,promoter,active,4545,1581,55,35,517,316,3852,1194,73,19,48,17,1381,334,2020_12
1336410263126478848,1,promoter,suspended,2005,713,6,4,240,124,1727,576,14,6,18,3,694,189,2020_12
1336442519677251587,1,promoter,active,6314,1459,16,11,765,228,5435,1173,36,28,62,19,1658,318,2020_12
1336448830523498498,1,promoter,active,1083,273,7,40,366,105,684,121,10,6,16,1,232,19,2020_12
1336491821548130305,1,promoter,suspended,4967,377,5,2,450,39,4311,327,154,7,47,2,1877,110,2020_12
1336672916088516614,0,detractor,active,351,588,246,96,1,143,93,324,9,14,2,11,42,80,2020_12
1336688887322861570,1,promoter,active,705,254,22,2,102,49,566,191,4,4,11,8,209,67,2020_12
1336694029111660544,1,promoter,active,7637,1636,40,38,1994,402,5415,1157,85,20,103,19,1466,224,2020_12
1336695740446384130,1,promoter,active,2797,548,18,12,819,181,1942,348,6,1,12,6,494,52,2020_12
1336708080491520006,1,promoter,active,9618,1470,15,4,871,180,8621,1267,45,8,66,11,3070,389,2020_12
1336723304292421632,1,promoter,active,12503,1752,35,36,1871,248,10477,1451,43,7,77,10,3321,371,2020_12
1336732398629888001,1,promoter,active,4546,360,6,39,358,34,4017,276,90,10,75,1,1498,83,2020_12
1336732887530528768,1,promoter,active,6976,504,6,1,356,44,6579,455,15,1,20,3,2562,157,2020_12
1336761526280138753,1,promoter,active,11942,861,17,23,1027,81,10487,746,208,6,203,5,3746,226,2020_12
1336771173619650560,1,promoter,active,1678,209,3,8,145,28,1492,165,20,7,18,1,509,39,2020_12
1336792790987137031,1,promoter,active,1006,266,16,7,231,57,651,183,82,16,26,3,222,43,2020_12
1336799525537800193,1,promoter,active,5643,829,2,3,486,83,5122,736,9,3,24,4,1930,191,2020_12
1336811823232921600,1,promoter,suspended,49616,8679,195,761,16194,1814,29451,5575,2330,362,1446,167,8863,1691,2020_12
1336823312903639041,1,promoter,active,7835,507,21,7,1061,84,6627,407,27,3,99,6,2514,127,2020_12
1336854953579646976,1,promoter,suspended,21329,3101,26,10,1816,380,19211,2696,175,6,101,9,6833,789,2020_12
1336876501963300865,1,promoter,active,7447,847,12,14,553,105,6814,723,32,3,36,2,2457,207,2020_12
1336974202512019457,1,promoter,active,143,41,25,5,37,9,75,25,2,1,4,1,14,3,2020_12
1337011145664815105,1,promoter,active,702,63,2,1,34,11,650,48,4,1,12,2,262,12,2020_12
1337011946953072641,1,promoter,active,14180,1590,20,52,1420,198,12160,1305,326,24,254,11,4722,448,2020_12
1337017367214379009,1,promoter,active,6790,432,44,74,1029,60,5566,289,77,7,74,2,2338,75,2020_12
1337019432342855680,1,promoter,active,2182,89,1,3,53,8,2099,74,20,2,9,2,897,25,2020_12
1337029152327802881,1,promoter,active,3531,260,6,16,278,35,3105,203,87,3,55,3,1234,67,2020_12
1337036926327656450,1,promoter,active,18889,1763,42,15,3738,334,14963,1410,59,1,87,3,4287,368,2020_12
1337043739915788292,1,promoter,suspended,22940,2188,63,244,4993,370,16742,1530,664,26,478,18,6055,458,2020_12
1337089410068860929,1,promoter,suspended,8244,429,14,3,486,47,7540,373,126,2,78,4,3338,125,2020_12
1337101740240416768,1,promoter,active,1318,241,11,1,152,39,1143,198,1,1,11,2,438,78,2020_12
1337105777505480706,1,promoter,active,1968,289,8,8,334,54,1550,218,12,5,64,4,485,51,2020_12
1337124368762228743,1,promoter,suspended,11376,1026,10,5,777,119,10434,896,86,2,69,4,4080,316,2020_12
